ticker,symbol,Name,Market,Sector
ALR.BX,ALR,ALRO S.A.,BVB Premium,Industry
ATB.BX,ATB,ANTIBIOTICE S.A.,BVB Premium,Pharma
ROAQ.BX,AQ,AQUILA PART PROD COM,BVB Premium,Trade
ROTLV.BX,TLV,BANCA TRANSILVANIA S.A.,BVB Premium,Banking
ROBIO.BX,BIO,BIOFARM S.A.,BVB Premium,Pharma
ROBRD.BX,BRD,BRD - GROUPE SOCIETE GENERALE S.A.,BVB Premium,Banking
ROBVB.BX,BVB,BURSA DE VALORI BUCURESTI SA,BVB Premium,Securities
ROTEL.BX,TEL,C.N.T.E.E. TRANSELECTRICA,BVB Premium,Energy
COTE.BX,COTE,CONPET SA,BVB Premium,Energy
IMP.BX,IMP,IMPACT DEVELOPER & CONTRACTOR S.A.,BVB Premium,Real Estate
ROM.BX,M,MedLife S.A.,BVB Premium,Medical
ROSNP.BX,SNP,OMV PETROM S.A.,BVB Premium,Energy
ROONE.BX,ONE,ONE UNITED PROPERTIES,BVB Premium,Real Estate
PBK.BX,PBK,PATRIA BANK S.A.,BVB Premium,Banking
ROSNN.BX,EL,SOCIETATEA ENERGETICA ELECTRICA S.A.,BVB Premium,Energy
SNG.BX,SNG,S.N.G.N. ROMGAZ S.A.,BVB Premium,Energy
TGN.BX,TGN,S.N.T.G.N. TRANSGAZ S.A.,BVB Premium,Energy
ROEL.BX,SNN,S.N. NUCLEARELECTRICA S.A.,BVB Premium,Energy
ROSFG.BX,SFG,Sphera Franchise Group,BVB Premium,Food
ROBRK.BX,BRK,SSIF BRK FINANCIAL GROUP SA,BVB Premium,Securities
TTS.BX,TTS,TTS (TRANSPORT TRADE SERVICES),BVB Premium,Transport
SIF2.BX,EVER,EVERGENT INVESTMENTS S.A.,BVB  Financial Investments Funds (SIF),Securities
FP.BX,FP,FONDUL PROPRIETATEA,BVB  Financial Investments Funds (SIF),Securities
SIF1.BX,SIF1,SIF BANAT CRISANA S.A.,BVB  Financial Investments Funds (SIF),Securities
SIF4.BX,SIF4,SIF MUNTENIA S.A.,BVB  Financial Investments Funds (SIF),Securities
SIF5.BX,SIF5,SIF OLTENIA S.A.,BVB  Financial Investments Funds (SIF),Securities
SIF3.BX,SIF3,SIF TRANSILVANIA S.A.,BVB  Financial Investments Funds (SIF),Securities
AAG.BX,AAG,AAGES S.A.,BVB Standard,Industry
ROALT.BX,ALT,ALTUR S.A.,BVB Standard,Industry
ALU.BX,ALU,ALUMIL ROM INDUSTRY S.A.,BVB Standard,Industry
ROARTE.BX,ARTE,ARTEGO SA,BVB Standard,Industry
BNET.BX,BNET,BITTNET SYSTEMS SA BUCURESTI,BVB Standard,Education
CBC.BX,CBC,CARBOCHIM S.A.,BVB Standard,Industry
CEON.BX,CEON,CEMACON SA,BVB Standard,Industry
ROCMP.BX,CMP,COMPA S. A.,BVB Standard,Industry
COMI.BX,COMI,CONDMAG S.A.,BVB Standard,Industry
DAFR.BX,DAFR,DAFORA SA,BVB Standard,Industry
ELGS.BX,ELGS,ELECTROARGES SA,BVB Standard,Industry
RMAH.BX,RMAH,FARMACEUTICA REMEDIA SA,BVB Standard,Pharma
IARV.BX,IARV,IAR SA Brasov,BVB Standard,Industry
MECE.BX,MECE,MECANICA FINA SA,BVB Standard,Industry
OIL.BX,OIL,OIL TERMINAL S.A.,BVB Standard,Energy
PREB.BX,PREB,PREBET SA AIUD,BVB Standard,Industry
ROPPL.BX,PPL,PROMATERIS S.A.,BVB Standard,Industry
MCAB.BX,MCAB,ROMCAB SA,BVB Standard,Industry
ROCE.BX,ROCE,ROMCARBON SA,BVB Standard,Industry
RORRC.BX,RRC,ROMPETROL RAFINARE S.A.,BVB Standard,Energy
ROPTR.BX,PTR,ROMPETROL WELL SERVICES S.A.,BVB Standard,Energy
RPH.BX,RPH,ROPHARMA SA,BVB Standard,Pharma
SNO.BX,SNO,SANTIERUL NAVAL ORSOVA S.A.,BVB Standard,Industry
ROSTZ.BX,STZ,SINTEZA S.A.,BVB Standard,Industry
TRP.BX,TRP,TERAPLAST SA,BVB Standard,Industry
ROTBK.BX,TBK,TRANSILVANIA BROKER DE ASIGURARE,BVB Standard,Securities
ROTBM.BX,TBM,TURBOMECANICA S.A.,BVB Standard,Industry
EFO.BX,EFO,"TURISM, HOTELURI, RESTAURANTE MAREA NEAGRA S.A.",BVB Standard,HORECA
VESY.BX,VESY,VES SA,BVB Standard,Industry
VNC.BX,VNC,VRANCART SA,BVB Standard,Industry
ROSCD.BX,SCD,ZENTIVA S.A.,BVB Standard,Pharma
DIGI.BX,DIGI,Digi Communications N.V.,BVB FOREIGN,Communication
EBS.BX,EBS,Erste Group Bank AG,BVB FOREIGN,Banking
ROWINE.BX,WINE,PURCARI WINERIES PUBLIC COMPANY LIMITED,BVB FOREIGN,HORECA
RO2P.BX,2P,2PERFORMANT NETWORK,AeRO Premium Category,
ROADISS.BX,ADISS,ADISS,AeRO Premium Category,
ROAAB.BX,AAB,AGROLAND AGRIBUSINESS,AeRO Premium Category,
ROAG.BX,AG,AGROLAND BUSINESS SYSTEM,AeRO Premium Category,
ROMILK.BX,MILK,AGROSERV MARIUTA,AeRO Premium Category,
ROCLAIM.BX,CLAIM,AIR CLAIM,AeRO Premium Category,
ROAPP.BX,APP,APPRAISAL & VALUATION,AeRO Premium Category,
ROAST.BX,AST,ARCTIC STREAM,AeRO Premium Category,
UARG.BX,UARG,ARGUS SA Constanta,AeRO Premium Category,
ROAROBS.BX,AROBS,AROBS TRANSILVANIA SOFTWARE,AeRO Premium Category,
ROASC.BX,ASC,ASCENDIA SA,AeRO Premium Category,
ROBONA.BX,BONA,BONAS IMPORT EXPORT,AeRO Premium Category,
BUCU.BX,BUCU,BUCUR OBOR SA BUCURESTI,AeRO Premium Category,
BUCV.BX,BUCV,BUCUR SA Bucuresti,AeRO Premium Category,
